= World Cup 2026     # 48 Teams


== Czech Republic     # 26 Players
  12, Oliver BAUMANN                   GK,  b. 1990/06/02
  21, Alexander NÜBEL                  GK,  b. 1996/09/30

   2, Antonio RÜDIGER                  DF,  b. 1993/03/03
   3, Waldemar ANTON                   DF,  b. 1996/07/20
   4, Jonathan TAH                     DF,  b. 1996/02/11
   6, Joshua KIMMICH                   DF,  b. 1995/02/08
  15, Nico SCHLOTTERBECK               DF,  b. 1999/12/01
  18, Nathaniel BROWN                  DF,  b. 2003/06/16
  22, David RAUM                       DF,  b. 1998/04/22
  24, Malick THIAW                     DF,  b. 2001/08/08

   5, Aleksandar PAVLOVIĆ              MF,  b. 2004/05/03
   8, Leon GORETZKA                    MF,  b. 1995/02/06
   9, Jamie LEWELING                   MF,  b. 2001/02/26
  10, Jamal MUSIALA                    MF,  b. 2003/02/26
  13, Pascal GROSS                     MF,  b. 1991/06/15
  16, Angelo STILLER                   MF,  b. 2001/04/04
  17, Florian WIRTZ                    MF,  b. 2003/05/03
  19, Leroy SANÉ                       MF,  b. 1996/01/11
  20, Nadiem AMIRI                     MF,  b. 1996/10/27
  23, Felix NMECHA                     MF,  b. 2000/10/10
  25, Assan OUÉDRAOGO                  MF,  b. 2006/05/09

   7, Kai HAVERTZ                      FW,  b. 1999/06/11
  11, Nick WOLTEMADE                   FW,  b. 2002/02/14
  14, Maximilian BEIER                 FW,  b. 2002/10/17
  26, Deniz UNDAV                      FW,  b. 1996/07/19


== Ivory Coast     # 26 Players

   1, Yahia FOFANA                     GK,  b. 2000/08/21
  16, Mohamed KONÉ                     GK,  b. 2002/03/07
  23, Alban LAFONT                     GK,  b. 1999/01/23

   2, Ousmane DIOMANDE                 DF,  b. 2003/12/04
   3, Ghislain KONAN                   DF,  b. 1995/12/27
   5, Wilfried SINGO                   DF,  b. 2000/12/25
   7, Odilon KOSSOUNOU                 DF,  b. 2001/01/04
  13, Christopher OPÉRI                DF,  b. 1997/04/29
  17, Guéla DOUÉ                       DF,  b. 2002/10/17
  20, Emmanuel AGBADOU                 DF,  b. 1997/06/17
  21, Evan NDICKA                      DF,  b. 1999/08/20

   4, Jean Michaël SERI                MF,  b. 1991/07/19
   6, Seko FOFANA                      MF,  b. 1995/05/07
   8, Franck KESSIÉ                    MF,  b. 1996/12/19
  18, Ibrahim SANGARÉ                  MF,  b. 1997/12/02
  25, Parfait GUIAGON                  MF,  b. 2001/02/22
  26, Christ INAO OULAÏ                MF,  b. 2006/04/06

   9, Ange-Yoan BONNY                  FW,  b. 2003/10/25
  10, Simon ADINGRA                    FW,  b. 2002/01/01
  11, Yan DIOMANDE                     FW,  b. 2006/11/14
  12, Elye WAHI                        FW,  b. 2003/01/02
  14, Oumar DIAKITÉ                    FW,  b. 2003/12/20
  15, Amad DIALLO                      FW,  b. 2002/07/11
  19, Nicolas PÉPÉ                     FW,  b. 1995/05/29
  22, Evann GUESSAND                   FW,  b. 2001/07/01
  24, Bazoumana TOURÉ                  FW,  b. 2006/03/02


== Japan     # 26 Players

   1, Zion SUZUKI                      GK,  b. 2002/08/21
  12, Keisuke ŌSAKO                    GK,  b. 1999/07/28
  23, Tomoki HAYAKAWA                  GK,  b. 1999/03/03

   2, Yukinari SUGAWARA                DF,  b. 2000/06/28
   3, Shōgo TANIGUCHI                  DF,  b. 1991/07/15
   4, Kō ITAKURA                       DF,  b. 1997/01/27
   5, Yūto NAGATOMO                    DF,  b. 1986/09/12
  16, Tsuyoshi WATANABE                DF,  b. 1997/02/05
  20, Ayumu SEKO                       DF,  b. 2000/06/07
  21, Hiroki ITŌ                       DF,  b. 1999/05/12
  22, Takehiro TOMIYASU                DF,  b. 1998/11/05
  25, Junnosuke SUZUKI                 DF,  b. 2003/07/12

   6, Wataru ENDO                      MF,  b. 1993/02/09
   7, Ao TANAKA                        MF,  b. 1998/09/10
   8, Takefusa KUBO                    MF,  b. 2001/06/04
  10, Ritsu DŌAN                       MF,  b. 1998/06/16
  11, Daizen MAEDA                     MF,  b. 1997/10/20
  13, Keito NAKAMURA                   MF,  b. 2000/07/28
  14, Junya ITŌ                        MF,  b. 1993/03/09
  15, Daichi KAMADA                    MF,  b. 1996/08/05
  17, Yuito SUZUKI                     MF,  b. 2001/10/25
  24, Kaishū SANO                      MF,  b. 2000/12/30

   9, Keisuke GOTŌ                     FW,  b. 2005/06/03
  18, Ayase UEDA                       FW,  b. 1998/08/28
  19, Kōki OGAWA                       FW,  b. 1997/08/08
  26, Kento SHIOGAI                    FW,  b. 2005/03/26


== Netherlands     # 26 Players

   1, Bart VERBRUGGEN                  GK,  b. 2002/08/18
  13, Robin ROEFS                      GK,  b. 2003/01/17
  23, Mark FLEKKEN                     GK,  b. 1993/06/13

   2, Lutsharel GEERTRUIDA             DF,  b. 2000/07/18
   4, Virgil van DIJK                  DF,  b. 1991/07/08
   5, Nathan AKÉ                       DF,  b. 1995/02/18
   6, Jan Paul van HECKE               DF,  b. 2000/06/08
  12, Mats WIEFFER                     DF,  b. 1999/11/16
  15, Micky van de VEN                 DF,  b. 2001/04/19
  22, Denzel DUMFRIES                  DF,  b. 1996/04/18
  25, Jorrel HATO                      DF,  b. 2006/03/07

   3, Marten de ROON                   MF,  b. 1991/03/29
   7, Justin KLUIVERT                  MF,  b. 1999/05/05
   8, Ryan GRAVENBERCH                 MF,  b. 2002/05/16
  14, Tijjani REIJNDERS                MF,  b. 1998/07/29
  16, Guus TIL                         MF,  b. 1997/12/22
  20, Teun KOOPMEINERS                 MF,  b. 1998/02/28
  21, Frenkie de JONG                  MF,  b. 1997/05/12
  26, Quinten TIMBER                   MF,  b. 2001/06/17

   9, Wout WEGHORST                    FW,  b. 1992/08/07
  10, Memphis DEPAY                    FW,  b. 1994/02/13
  11, Cody GAKPO                       FW,  b. 1999/05/07
  17, Noa LANG                         FW,  b. 1999/06/17
  18, Donyell MALEN                    FW,  b. 1999/01/19
  19, Brian BROBBEY                    FW,  b. 2002/02/01
  24, Crysencio SUMMERVILLE            FW,  b. 2001/10/30


== Sweden     # 26 Players

   1, Jacob WIDELL ZETTERSTRÖM         GK,  b. 1998/07/11
  12, Viktor JOHANSSON                 GK,  b. 1998/09/14
  23, Kristoffer NORDFELDT             GK,  b. 1989/06/23

   2, Gustaf LAGERBIELKE               DF,  b. 2000/04/10
   3, Victor LINDELÖF                  DF,  b. 1994/07/17
   4, Isak HIEN                        DF,  b. 1999/01/13
   5, Gabriel GUDMUNDSSON              DF,  b. 1999/04/29
   6, Herman JOHANSSON                 DF,  b. 1997/10/16
   8, Daniel SVENSSON                  DF,  b. 2002/02/12
  14, Hjalmar EKDAL                    DF,  b. 1998/10/21
  15, Carl STARFELT                    DF,  b. 1995/06/01
  20, Eric SMITH                       DF,  b. 1997/01/08
  21, Alexander BERNHARDSSON           DF,  b. 1998/09/08
  24, Elliot STROUD                    DF,  b. 2002/06/22

   7, Lucas BERGVALL                   MF,  b. 2006/02/02
  10, Benjamin NYGREN                  MF,  b. 2001/07/08
  13, Ken SEMA                         MF,  b. 1993/09/30
  16, Jesper KARLSTRÖM                 MF,  b. 1995/06/21
  18, Yasin AYARI                      MF,  b. 2003/10/06
  19, Mattias SVANBERG                 MF,  b. 1999/01/05
  22, Besfort ZENELI                   MF,  b. 2002/11/21

   9, Alexander ISAK                   FW,  b. 1999/09/21
  11, Anthony ELANGA                   FW,  b. 2002/04/27
  17, Viktor GYÖKERES                  FW,  b. 1998/06/04
  25, Gustaf NILSSON                   FW,  b. 1997/05/23
  26, Taha ALI                         FW,  b. 1998/07/01


== Tunisia     # 26 Players

   1, Mouhib CHAMAKH                   GK,  b. 2001/08/25
  16, Aymen DAHMEN                     GK,  b. 1997/01/28
  22, Sabri BEN HESSEN                 GK,  b. 1996/06/13

   2, Ali ABDI                         DF,  b. 1993/12/20
   3, Montassar TALBI                  DF,  b. 1998/05/26
   4, Omar REKIK                       DF,  b. 2001/12/20
   5, Adem AROUS                       DF,  b. 2004/07/17
   6, Dylan BRONN                      DF,  b. 1995/06/19
  12, Mortadha BEN OUANES              DF,  b. 1994/07/02
  20, Yan VALERY                       DF,  b. 1999/02/22
  21, Mohamed Amine BEN HAMIDA         DF,  b. 1995/12/15
  23, Moutaz NEFFATI                   DF,  b. 2004/09/04
  24, Raed CHIKHAOUI                   DF,  b. 2004/06/09

  10, Hannibal MEJBRI                  MF,  b. 2003/01/21
  11, Ismaël GHARBI                    MF,  b. 2004/04/10
  13, Rani KHEDIRA                     MF,  b. 1994/01/27
  14, Khalil AYARI                     MF,  b. 2005/02/02
  15, Hadj MAHMOUD                     MF,  b. 2000/04/24
  17, Ellyes SKHIRI                    MF,  b. 1995/05/10
  25, Anis BEN SLIMANE                 MF,  b. 2001/03/16
  26, Sebastian TOUNEKTI               MF,  b. 2002/07/13

   7, Elias ACHOURI                    FW,  b. 1999/02/10
   8, Elias SAAD                       FW,  b. 1999/12/27
   9, Hazem MASTOURI                   FW,  b. 1997/06/18
  18, Rayan ELLOUMI                    FW,  b. 2007/09/17
  19, Firas CHAOUAT                    FW,  b. 1996/05/08


== Belgium     # 26 Players

   1, Thibaut COURTOIS                 GK,  b. 1992/05/11
  12, Senne LAMMENS                    GK,  b. 2002/07/07
  13, Mike PENDERS                     GK,  b. 2005/07/31

   2, Zeno DEBAST                      DF,  b. 2003/10/24
   3, Arthur THEATE                    DF,  b. 2000/05/25
   4, Brandon MECHELE                  DF,  b. 1993/01/28
   5, Maxim DE CUYPER                  DF,  b. 2000/12/22
  15, Thomas MEUNIER                   DF,  b. 1991/09/12
  16, Koni DE WINTER                   DF,  b. 2002/06/12
  18, Joaquin SEYS                     DF,  b. 2005/03/28
  21, Timothy CASTAGNE                 DF,  b. 1995/12/05
  25, Nathan NGOY                      DF,  b. 2003/06/10

   6, Axel WITSEL                      MF,  b. 1989/01/12
   7, Kevin DE BRUYNE                  MF,  b. 1991/06/28
   8, Youri TIELEMANS                  MF,  b. 1997/05/07
  19, Diego MOREIRA                    MF,  b. 2004/08/06
  20, Hans VANAKEN                     MF,  b. 1992/08/24
  22, Alexis SAELEMAEKERS              MF,  b. 1999/06/27
  23, Nicolas RASKIN                   MF,  b. 2001/02/23
  24, Amadou ONANA                     MF,  b. 2001/08/16

   9, Romelu LUKAKU                    FW,  b. 1993/05/13
  10, Leandro TROSSARD                 FW,  b. 1994/12/04
  11, Jérémy DOKU                      FW,  b. 2002/05/27
  14, Dodi LUKÉBAKIO                   FW,  b. 1997/09/24
  17, Charles DE KETELAERE             FW,  b. 2001/03/10
  26, Matias FERNANDEZ-PARDO           FW,  b. 2005/02/03


== Egypt     # 26 Players

   1, Mohamed El SHENAWY               GK,  b. 1988/12/18
  16, El Mahdy SOLIMAN                 GK,  b. 1987/06/08
  23, Mostafa SHOBEIR                  GK,  b. 2000/05/15
  26, Mohamed ALAA                     GK,  b. 1999/01/01

   2, Yasser IBRAHIM                   DF,  b. 1993/02/10
   3, Mohamed HANY                     DF,  b. 1996/02/02
   4, Hossam ABDELMAGUID               DF,  b. 2001/04/30
   5, Ramy RABIA                       DF,  b. 1993/05/20
   6, Mohamed ABDELMONEM               DF,  b. 1999/02/01
  13, Ahmed FATOUH                     DF,  b. 1998/03/22
  15, Karim HAFEZ                      DF,  b. 1996/03/12
  24, Tarek ALAA                       DF,  b. 2002/01/05

   8, Emam ASHOUR                      MF,  b. 1998/02/20
  11, Mostafa ZIKO                     MF,  b. 1997/04/27
  14, Hamdy FATHY                      MF,  b. 1994/09/29
  17, Mohanad LASHEEN                  MF,  b. 1996/05/29
  18, Nabil EMAD                       MF,  b. 1996/04/06
  19, Marwan ATTIA                     MF,  b. 1998/08/01
  21, Mahmoud SABER                    MF,  b. 2001/07/30

   7, TRÉZÉGUET                        FW,  b. 1994/10/01
   9, Hamza ABDELKARIM                 FW,  b. 2008/01/01
  10, Mohamed SALAH                    FW,  b. 1992/06/15
  12, Haissem HASSAN                   FW,  b. 2002/02/08
  20, Ibrahim ADEL                     FW,  b. 2001/04/23
  22, Omar MARMOUSH                    FW,  b. 1999/02/07
  25, ZIZO                             FW,  b. 1996/01/10


== Iran     # 26 Players

   1, Alireza BEIRANVAND               GK,  b. 1992/09/21
  12, Payam NIAZMAND                   GK,  b. 1995/04/06
  22, Hossein HOSSEINI                 GK,  b. 1992/06/30

   2, Saleh HARDANI                    DF,  b. 1998/12/26
   3, Ehsan HAJSAFI                    DF,  b. 1990/02/25
   4, Shojae KHALILZADEH               DF,  b. 1989/05/14
   5, Milad MOHAMMADI                  DF,  b. 1993/09/29
  13, Hossein KANAANIZADEGAN           DF,  b. 1994/03/23
  17, Aria YOUSEFI                     DF,  b. 2002/04/22
  19, Ali NEMATI                       DF,  b. 1996/02/08
  23, Ramin REZAEIAN                   DF,  b. 1990/03/21
  25, Danial EIRI                      DF,  b. 2003/10/26

   6, Saeid EZATOLAHI                  MF,  b. 1996/10/01
   7, Alireza JAHANBAKHSH              MF,  b. 1993/08/11
   8, Mohammad MOHEBI                  MF,  b. 1998/12/20
  14, Saman GHODDOS                    MF,  b. 1993/09/06
  15, Rouzbeh CHESHMI                  MF,  b. 1993/07/24
  16, Mehdi TORABI                     MF,  b. 1994/09/10
  21, Mohammad GHORBANI                MF,  b. 2001/10/07
  26, Amirmohammad RAZZAGHINIA         MF,  b. 2006/04/11

   9, Mehdi TAREMI                     FW,  b. 1992/07/18
  10, Mehdi GHAYEDI                    FW,  b. 1998/12/05
  11, Ali ALIPOUR                      FW,  b. 1995/11/11
  18, Amirhossein HOSSEINZADEH         FW,  b. 2000/10/30
  20, Shahriyar MOGHANLOU              FW,  b. 1994/12/21
  24, Dennis ECKERT                    FW,  b. 1997/01/09


== New Zealand     # 26 Players

   1, Max CROCOMBE                     GK,  b. 1993/08/12
  12, Alex PAULSEN                     GK,  b. 2002/07/04
  22, Michael WOUD                     GK,  b. 1999/01/16

   2, Tim PAYNE                        DF,  b. 1994/01/10
   3, Francis DE VRIES                 DF,  b. 1994/11/28
   4, Tyler BINDON                     DF,  b. 2005/01/27
   5, Michael BOXALL                   DF,  b. 1988/08/18
  13, Liberato CACACE                  DF,  b. 2000/09/27
  15, Nando PIJNAKER                   DF,  b. 1999/02/25
  16, Finn SURMAN                      DF,  b. 2003/09/23
  24, Callan ELLIOT                    DF,  b. 1999/07/07
  26, Tommy SMITH                      DF,  b. 1990/03/31

   6, Joe BELL                         MF,  b. 1999/04/27
   7, Matthew GARBETT                  MF,  b. 2002/04/13
   8, Marko STAMENIĆ                   MF,  b. 2002/02/19
  10, Sarpreet SINGH                   MF,  b. 1999/02/20
  11, Elijah JUST                      MF,  b. 2000/05/01
  14, Alex RUFER                       MF,  b. 1996/06/12
  19, Ben OLD                          MF,  b. 2002/08/13
  20, Callum MCCOWATT                  MF,  b. 1999/04/30
  23, Ryan THOMAS                      MF,  b. 1994/12/20
  25, Lachlan BAYLISS                  MF,  b. 2002/07/24

   9, Chris WOOD                       FW,  b. 1991/12/07
  17, Kosta BARBAROUSES                FW,  b. 1990/02/19
  18, Ben WAINE                        FW,  b. 2001/06/11
  21, Jesse RANDALL                    FW,  b. 2002/08/19


== Cape Verde     # 26 Players

   1, VOZINHA                          GK,  b. 1986/06/03
  12, Márcio ROSA                      GK,  b. 1997/02/23
  23, CJ DOS SANTOS                    GK,  b. 2000/08/24

   2, STOPIRA                          DF,  b. 1988/05/20
   3, DINEY                            DF,  b. 1995/01/17
   4, Roberto LOPES                    DF,  b. 1992/06/17
   5, Logan COSTA                      DF,  b. 2001/04/01
  13, Sidny LOPES CABRAL               DF,  b. 2002/09/18
  22, Steven MOREIRA                   DF,  b. 1994/08/13
  24, Wagner PINA                      DF,  b. 2002/11/03
  25, Kelvin PIRES                     DF,  b. 2000/06/05

   6, Kevin PINA                       MF,  b. 1997/01/27
   7, Jovane CABRAL                    MF,  b. 1998/06/14
   8, JOÃO PAULO                       MF,  b. 1998/05/26
  10, Jamiro MONTEIRO                  MF,  b. 1993/11/23
  11, Garry RODRIGUES                  MF,  b. 1990/11/27
  14, Deroy DUARTE                     MF,  b. 1999/07/04
  15, Laros DUARTE                     MF,  b. 1997/02/28
  16, Yannick SEMEDO                   MF,  b. 1995/12/29
  17, Willy SEMEDO                     MF,  b. 1994/04/27
  18, Telmo ARCANJO                    MF,  b. 2001/06/21
  21, Nuno DA COSTA                    MF,  b. 1991/02/10
  26, Hélio VARELA                     MF,  b. 2002/05/03

   9, Gilson BENCHIMOL                 FW,  b. 2001/12/29
  19, Dailon LIVRAMENTO                FW,  b. 2001/05/04
  20, Ryan MENDES                      FW,  b. 1990/01/08


== Saudi Arabia     # 26 Players

   1, Nawaf AL-AQIDI                   GK,  b. 2000/05/10
  21, Mohammed AL-OWAIS                GK,  b. 1991/10/10
  22, Ahmed AL-KASSAR                  GK,  b. 1991/05/08

   2, Ali MAJRASHI                     DF,  b. 1999/10/02
   3, Ali LAJAMI                       DF,  b. 1996/04/24
   4, Abdulelah AL-AMRI                DF,  b. 1997/01/15
   5, Hassan AL-TAMBAKTI               DF,  b. 1999/02/09
  12, Saud ABDULHAMID                  DF,  b. 1999/07/18
  13, Nawaf BOUSHAL                    DF,  b. 1999/09/16
  14, Hassan KADESH                    DF,  b. 1992/09/26
  24, Moteb AL-HARBI                   DF,  b. 2000/02/20
  25, Jehad THAKRI                     DF,  b. 2001/07/21
  26, Mohammed ABU AL-SHAMAT           DF,  b. 2002/08/11

   6, Nasser AL-DAWSARI                MF,  b. 1998/12/19
   7, Musab AL-JUWAYR                  MF,  b. 2003/06/20
  15, Abdullah AL-KHAIBARI             MF,  b. 1996/08/16
  16, Ziyad AL-JOHANI                  MF,  b. 2001/11/11
  18, Alaa AL-HEJJI                    MF,  b. 1995/12/03
  23, Mohamed KANNO                    MF,  b. 1994/09/22

   8, Ayman YAHYA                      FW,  b. 2001/05/14
   9, Firas AL-BURAIKAN                FW,  b. 2000/05/14
  10, Salem AL-DAWSARI                 FW,  b. 1991/08/19
  11, Saleh AL-SHEHRI                  FW,  b. 1993/11/01
  17, Khalid AL-GHANNAM                FW,  b. 2000/11/08
  19, Abdullah AL-HAMDAN               FW,  b. 1999/09/13
  20, Sultan MANDASH                   FW,  b. 1994/10/17


== Spain     # 26 Players

   1, David RAYA                       GK,  b. 1995/09/15
  13, Joan GARCIA                      GK,  b. 2001/05/04
  23, Unai SIMÓN                       GK,  b. 1997/06/11

   2, Marc PUBILL                      DF,  b. 2003/06/20
   3, Álex GRIMALDO                    DF,  b. 1995/09/20
   4, Eric GARCÍA                      DF,  b. 2001/01/09
   5, Marcos LLORENTE                  DF,  b. 1995/01/30
  12, Pedro PORRO                      DF,  b. 1999/09/13
  14, Aymeric LAPORTE                  DF,  b. 1994/05/27
  22, Pau CUBARSÍ                      DF,  b. 2007/01/22
  24, Marc CUCURELLA                   DF,  b. 1998/07/22

   6, Mikel MERINO                     MF,  b. 1996/06/22
   8, Fabián RUIZ                      MF,  b. 1996/04/03
   9, GAVI                             MF,  b. 2004/08/05
  15, Álex BAENA                       MF,  b. 2001/07/20
  16, RODRI                            MF,  b. 1996/06/22
  18, Martín ZUBIMENDI                 MF,  b. 1999/02/02
  20, PEDRI                            MF,  b. 2002/11/25

   7, Ferran TORRES                    FW,  b. 2000/02/29
  10, Dani OLMO                        FW,  b. 1998/05/07
  11, Yéremy PINO                      FW,  b. 2002/10/20
  17, Nico WILLIAMS                    FW,  b. 2002/07/12
  19, Lamine YAMAL                     FW,  b. 2007/07/13
  21, Mikel OYARZABAL                  FW,  b. 1997/04/21
  25, Víctor MUÑOZ                     FW,  b. 2003/07/13
  26, Borja IGLESIAS                   FW,  b. 1993/01/17


== Uruguay     # 26 Players

   1, Sergio ROCHET                    GK,  b. 1993/03/23
  12, Santiago MELE                    GK,  b. 1997/09/06
  23, Fernando MUSLERA                 GK,  b. 1986/06/16

   2, José GIMÉNEZ                     DF,  b. 1995/01/20
   3, Sebastián CÁCERES                DF,  b. 1999/08/18
   4, Ronald ARAÚJO                    DF,  b. 1999/03/07
  13, Guillermo VARELA                 DF,  b. 1993/03/24
  16, Mathías OLIVERA                  DF,  b. 1997/10/31
  17, Matías VIÑA                      DF,  b. 1997/11/09
  24, Santiago BUENO                   DF,  b. 1998/11/09

   5, Manuel UGARTE                    MF,  b. 2001/04/11
   6, Rodrigo BENTANCUR                MF,  b. 1997/06/25
   7, Nicolás de la CRUZ               MF,  b. 1997/06/01
   8, Federico VALVERDE                MF,  b. 1998/07/22
  10, Giorgian de ARRASCAETA           MF,  b. 1994/06/01
  14, Agustín CANOBBIO                 MF,  b. 1998/10/01
  15, Emiliano MARTÍNEZ                MF,  b. 1999/08/17
  20, Maximiliano ARAÚJO               MF,  b. 2000/02/15
  22, Joaquín PIQUEREZ                 MF,  b. 1998/08/24
  25, Juan Manuel SANABRIA             MF,  b. 2000/03/29
  26, Rodrigo ZALAZAR                  MF,  b. 1999/08/12

   9, Darwin NÚÑEZ                     FW,  b. 1999/06/24
  11, Facundo PELLISTRI                FW,  b. 2001/12/20
  18, Brian RODRÍGUEZ                  FW,  b. 2000/05/20
  19, Rodrigo AGUIRRE                  FW,  b. 1994/10/01
  21, Federico VIÑAS                   FW,  b. 1998/06/30


== France     # 26 Players

   1, Brice SAMBA                      GK,  b. 1994/04/25
  16, Mike MAIGNAN                     GK,  b. 1995/07/03
  23, Robin RISSER                     GK,  b. 2004/12/02

   2, Malo GUSTO                       DF,  b. 2003/05/19
   3, Lucas DIGNE                      DF,  b. 1993/07/20
   4, Dayot UPAMECANO                  DF,  b. 1998/10/27
   5, Jules KOUNDÉ                     DF,  b. 1998/11/12
  15, Ibrahima KONATÉ                  DF,  b. 1999/05/25
  17, William SALIBA                   DF,  b. 2001/03/24
  19, Théo HERNANDEZ                   DF,  b. 1997/10/06
  21, Lucas HERNANDEZ                  DF,  b. 1996/02/14
  26, Maxence LACROIX                  DF,  b. 2000/04/06

   6, Manu KONÉ                        MF,  b. 2001/05/17
   8, Aurélien TCHOUAMÉNI              MF,  b. 2000/01/27
  13, N'Golo KANTÉ                     MF,  b. 1991/03/29
  14, Adrien RABIOT                    MF,  b. 1995/04/03
  18, Warren ZAÏRE-EMERY               MF,  b. 2006/03/08
  24, Rayan CHERKI                     MF,  b. 2003/08/17
  25, Maghnes AKLIOUCHE                MF,  b. 2002/02/25

   7, Ousmane DEMBÉLÉ                  FW,  b. 1997/05/15
   9, Marcus THURAM                    FW,  b. 1997/08/06
  10, Kylian MBAPPÉ                    FW,  b. 1998/12/20
  11, Michael OLISE                    FW,  b. 2001/12/12
  12, Bradley BARCOLA                  FW,  b. 2002/09/02
  20, Désiré DOUÉ                      FW,  b. 2005/06/03
  22, Jean-Philippe MATETA             FW,  b. 1997/06/28


== Iraq     # 26 Players

   1, Fahad TALIB                      GK,  b. 1994/10/21
  12, Jalal HASSAN                     GK,  b. 1991/05/18
  22, Ahmed BASIL                      GK,  b. 1996/08/19

   2, Rebin SULAKA                     DF,  b. 1992/04/12
   3, Hussein ALI                      DF,  b. 2002/03/01
   4, Zaid TAHSEEN                     DF,  b. 2001/01/29
   5, Akam HASHIM                      DF,  b. 1998/08/16
   6, Manaf YOUNIS                     DF,  b. 1996/11/16
  15, Ahmed MAKNZI                     DF,  b. 2001/09/24
  23, Merchas DOSKI                    DF,  b. 1999/12/07
  25, Mustafa SAADOON                  DF,  b. 2001/05/25
  26, Frans PUTROS                     DF,  b. 1993/07/14

   7, Youssef AMYN                     MF,  b. 2003/08/21
   8, Ibrahim BAYESH                   MF,  b. 2000/05/01
  14, Zidane IQBAL                     MF,  b. 2003/04/27
  16, Amir AL-AMMARI                   MF,  b. 1997/07/27
  19, Kevin YAKOB                      MF,  b. 2000/10/10
  20, Aimar SHER                       MF,  b. 2002/12/20
  24, Zaid ISMAIL                      MF,  b. 2002/01/03

   9, Ali AL-HAMADI                    FW,  b. 2002/03/01
  10, Mohanad ALI                      FW,  b. 2000/06/20
  11, Ahmed QASEM                      FW,  b. 2003/07/12
  13, Ali YOUSIF                       FW,  b. 1996/01/19
  17, Ali JASIM                        FW,  b. 2004/01/20
  18, Aymen HUSSEIN                    FW,  b. 1996/03/22
  21, Marko FARJI                      FW,  b. 2004/03/16


== Norway     # 26 Players

   1, Ørjan NYLAND                     GK,  b. 1990/09/10
  12, Sander TANGVIK                   GK,  b. 2002/11/29
  13, Egil SELVIK                      GK,  b. 1997/07/30

   3, Kristoffer AJER                  DF,  b. 1998/04/17
   4, Leo ØSTIGÅRD                     DF,  b. 1999/11/28
   5, David MØLLER WOLFE               DF,  b. 2002/04/23
  15, Fredrik André BJØRKAN            DF,  b. 1998/08/21
  16, Marcus Holmgren PEDERSEN         DF,  b. 2000/07/16
  17, Torbjørn HEGGEM                  DF,  b. 1999/01/12
  24, Sondre LANGÅS                    DF,  b. 2001/02/02
  25, Henrik FALCHENER                 DF,  b. 2003/05/08

   2, Morten THORSBY                   MF,  b. 1996/05/05
   6, Patrick BERG                     MF,  b. 1997/11/24
   8, Sander BERGE                     MF,  b. 1998/02/14
  10, Martin ØDEGAARD                  MF,  b. 1998/12/17
  14, Fredrik AURSNES                  MF,  b. 1995/12/10
  18, Kristian THORSTVEDT              MF,  b. 1999/03/13
  19, Thelo AASGAARD                   MF,  b. 2002/05/02
  21, Andreas SCHJELDERUP              MF,  b. 2004/06/01
  22, Oscar BOBB                       MF,  b. 2003/07/12
  23, Jens Petter HAUGE                MF,  b. 1999/10/12

   7, Alexander SØRLOTH                FW,  b. 1995/12/05
   9, Erling HAALAND                   FW,  b. 2000/07/21
  11, Jørgen STRAND LARSEN             FW,  b. 2000/02/06
  20, Antonio NUSA                     FW,  b. 2005/04/17
  26, Julian RYERSON                   FW,  b. 1997/11/17


== Senegal     # 26 Players

   1, Yehvann DIOUF                    GK,  b. 1999/11/16
  16, Édouard MENDY                    GK,  b. 1992/03/01
  23, Mory DIAW                        GK,  b. 1993/06/22

   2, Mamadou SARR                     DF,  b. 2005/08/29
   3, Kalidou KOULIBALY                DF,  b. 1991/06/20
   4, Abdoulaye SECK                   DF,  b. 1992/06/04
  14, Ismail JAKOBS                    DF,  b. 1999/08/17
  15, Krépin DIATTA                    DF,  b. 1999/02/25
  19, Moussa NIAKHATÉ                  DF,  b. 1996/03/08
  24, Antoine MENDY                    DF,  b. 2004/05/27
  25, El Hadji Malick DIOUF            DF,  b. 2004/12/29

   5, Idrissa GUEYE                    MF,  b. 1989/09/26
   6, Pathé CISS                       MF,  b. 1994/03/16
   8, Lamine CAMARA                    MF,  b. 2004/01/01
  17, Pape Matar SARR                  MF,  b. 2002/09/14
  21, Habib DIARRA                     MF,  b. 2004/01/03
  22, Bara SAPOKO NDIAYE               MF,  b. 2007/12/31
  26, Pape GUEYE                       MF,  b. 1999/01/24

   7, Assane DIAO                      FW,  b. 2005/09/07
   9, Bamba DIENG                      FW,  b. 2000/03/23
  10, Sadio MANÉ                       FW,  b. 1992/04/10
  11, Nicolas JACKSON                  FW,  b. 2001/06/20
  12, Cherif NDIAYE                    FW,  b. 1996/01/23
  13, Iliman NDIAYE                    FW,  b. 2000/03/06
  18, Ismaïla SARR                     FW,  b. 1998/02/25
  20, Ibrahim MBAYE                    FW,  b. 2008/01/24


== Algeria     # 26 Players

   1, Melvin MASTIL                    GK,  b. 2000/02/19
  16, Oussama BENBOT                   GK,  b. 1994/10/11
  23, Luca ZIDANE                      GK,  b. 1998/05/13

   2, Aïssa MANDI                      DF,  b. 1991/10/22
   3, Achref ABADA                     DF,  b. 1999/06/15
